course_code,course_names,years_seen,grades_seen,semesters_seen,four_year_anchor_years,six_year_anchor_years,grade_1_2_years,four_year_evidence_count,six_year_evidence_count,anchor_generation,evidence_summary
ADB031,약학실험3,2022;2023;2024;2025,3,1,,2022;2023;2024;2025,,0,4,six_year,unique_6year_flowchart_match:2022;2023;2024;2025
ADB033,약물학2,2022;2023;2024;2025,3,2,,2022;2023;2024;2025,,0,4,six_year,unique_6year_flowchart_match:2022;2023;2024;2025
ADB034,감염성미생물학,2022;2023;2024;2025,3,2,,2022;2023;2024;2025,,0,4,six_year,unique_6year_flowchart_match:2022;2023;2024;2025
ADB035,임상면역학,2022;2023;2024;2025,3,2,,2022;2023;2024;2025,,0,4,six_year,unique_6year_flowchart_match:2022;2023;2024;2025
ADB036,생약학2,2022;2023;2024;2025,3,2,,2022;2023;2024;2025,,0,4,six_year,unique_6year_flowchart_match:2022;2023;2024;2025
ADB037,제제과학2,2022;2023;2024;2025,3,2,,2022;2023;2024;2025,,0,4,six_year,unique_6year_flowchart_match:2022;2023;2024;2025
ADB038,의약품합성학2,2022;2023;2024,3,2,,2022;2023,,0,2,six_year,unique_6year_flowchart_match:2022;2023
ADB039,약사 커뮤니케이션,2022;2023;2024;2025,3,2,,2022;2023;2024;2025,,0,4,six_year,unique_6year_flowchart_match:2022;2023;2024;2025
ADB040,의약품기기분석학2,2022;2023;2024;2025,3,2,,2022;2023;2024;2025,,0,4,six_year,unique_6year_flowchart_match:2022;2023;2024;2025
ADB041,약학실험4,2022;2023;2024;2025,3,2,,2022;2023;2024;2025,,0,4,six_year,unique_6year_flowchart_match:2022;2023;2024;2025
ADB043,향장품학,2022;2023;2024,4,1,,,,0,0,unresolved,
ADB044,예방약학1,2022;2023;2024;2025,4,1,,2022;2023;2024;2025,,0,4,six_year,unique_6year_flowchart_match:2022;2023;2024;2025
ADB045,감염질환을 위한 항생물질학,2022;2023;2024;2025,4,1,,2022;2023;2024;2025,,0,4,six_year,unique_6year_flowchart_match:2022;2023;2024;2025
ADB046,임상미생물학,2022;2023;2024;2025,4,1,,2022;2023;2024;2025,,0,4,six_year,unique_6year_flowchart_match:2022;2023;2024;2025
ADB047,의약화학1,2022;2023;2024;2025,4,1,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADB048,천연물의약품학,2022;2023;2024;2025,3;4,1,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADB049,약용식물학,2022;2023;2024;2025,2;4,1,,2022;2023;2024;2025,2024;2025,0,6,six_year,grade_1_2_rule:2024;2025;unique_6year_flowchart_match:2022;2023;2024;2025
ADB050,건강기능식품학,2022;2023;2024;2025,4,1;2,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADB051,제제과학 실험,2022;2023;2024,4,1,,2022;2023;2024,,0,3,six_year,unique_6year_flowchart_match:2022;2023;2024
ADB052,무기방사성 의약품학,2022;2023;2024,4,1,,2022;2023,,0,2,six_year,unique_6year_flowchart_match:2022;2023
ADB053,AI 의료약학빅데이터,2022;2023;2024,4,1,,2022;2023,,0,2,six_year,unique_6year_flowchart_match:2022;2023
ADB054,나노약학,2022;2023;2024,4,1,,2022,,0,1,six_year,unique_6year_flowchart_match:2022
ADB055,예방약학2,2022;2023;2024;2025,4,2,,2022;2023;2024;2025,,0,4,six_year,unique_6year_flowchart_match:2022;2023;2024;2025
ADB056,바이오의약품학,2022;2023;2024,4,2,,2022;2023;2024,,0,3,six_year,unique_6year_flowchart_match:2022;2023;2024
ADB057,생물약제학,2022;2023;2024;2025,4,2,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADB058,약물동태학,2022;2023;2024;2025,4,2,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADB059,의약화학2,2022;2023;2024;2025,4,2,2022,2022;2025,,1,2,conflict,unique_4year_flowchart_match:2022;unique_6year_flowchart_match:2022;2025
ADB060,바이오의약품 분석,2022;2023;2024;2025,4,1;2,,2022;2023;2024;2025,,0,4,six_year,unique_6year_flowchart_match:2022;2023;2024;2025
ADB061,법과학,2022;2023;2024,4,2,,2022,,0,1,six_year,unique_6year_flowchart_match:2022
ADB062,신경정신계 및 신장 질환 약물치료학,2022;2023;2024,5,1,,2022;2023,,0,2,six_year,unique_6year_flowchart_match:2022;2023
ADB063,내분비계 및 류마티스 질환 약물치료,2022;2023;2024,4,1,,,,0,0,unresolved,
ADB064,보건의약관계법규,2022;2023;2024;2025,4,2,,2022;2023;2024;2025,,0,4,six_year,unique_6year_flowchart_match:2022;2023;2024;2025
ADB065,약사윤리,2022;2023;2024;2025,4,2,,2022;2023;2024;2025,,0,4,six_year,unique_6year_flowchart_match:2022;2023;2024;2025
ADB066,의약품설계학,2022;2023;2024;2025,4,1;2,,2022;2023;2024;2025,,0,4,six_year,unique_6year_flowchart_match:2022;2023;2024;2025
ADB067,약학실험5,2022;2023;2024;2025,4,2,,2025,,0,1,six_year,unique_6year_flowchart_match:2025
ADB068,독성학,2022;2023;2024,3;5,1;2,,2022;2023;2024,,0,3,six_year,unique_6year_flowchart_match:2022;2023;2024
ADB069,감염성 질환 약물치료학,2022;2023;2024,4,2,,2022;2023;2024,,0,3,six_year,unique_6year_flowchart_match:2022;2023;2024
ADB070,항암약물요법,2022;2023;2024,5,1,,2022;2023,,0,2,six_year,unique_6year_flowchart_match:2022;2023
ADB071,호흡기계 및 소화기계 질환 약물치료학,2022;2023;2024,4,2,,2022;2023;2024,,0,3,six_year,unique_6year_flowchart_match:2022;2023;2024
ADB072,의약품제조관리학,2022;2023;2024,5,1,,,,0,0,unresolved,
ADB073,의약정보학과 경제성평가,2022;2023;2024,4;5,1;2,,2023;2024,,0,2,six_year,unique_6year_flowchart_match:2023;2024
ADB074,약업경영학,2022;2023;2024,5,1,,2022;2023;2024,,0,3,six_year,unique_6year_flowchart_match:2022;2023;2024
ADB075,지역약국 예비실무실습,2022;2023;2024,5,1,,,,0,0,unresolved,
ADB076,약학용어,2022;2023;2024;2025,2;3;5,1;2,,2024;2025,2023,0,3,six_year,grade_1_2_rule:2023;unique_6year_flowchart_match:2024;2025
ADB077,조제학,2022;2023;2024,2;5,1;2,,,2023;2024,0,2,six_year,grade_1_2_rule:2023;2024
ADB078,방제학,2022;2023;2024,5,1,,,,0,0,unresolved,
ADB079,약물신호전달학,2022;2023;2024,5,1,,2022;2023;2024,,0,3,six_year,unique_6year_flowchart_match:2022;2023;2024
ADB080,한약제제학,2022;2023;2024,5,2,,,,0,0,unresolved,
ADB081,약전 및 품질관리학,2022;2023;2024,5,2,,,,0,0,unresolved,
ADB082,심혈관계 질환 약물치료학,2022;2023;2024;2025,4;5,2,,,,0,0,unresolved,
ADB083,임상약학 해설,2022;2023;2024;2025,4;5,2,,2022;2023;2024,,0,3,six_year,unique_6year_flowchart_match:2022;2023;2024
ADB084,일반의약품학,2022;2023;2024;2025,2;5,1;2,,2024;2025,2023,0,3,six_year,grade_1_2_rule:2023;unique_6year_flowchart_match:2024;2025
ADB085,약물유전체학,2022;2023;2024;2025,3;5,1;2,,2022;2023;2024;2025,,0,4,six_year,unique_6year_flowchart_match:2022;2023;2024;2025
ADB086,의료기관약국예비실습,2022;2023;2024,5,2,,,,0,0,unresolved,
ADB087,약무행정실무필수실습,2022;2023;2024,5,2,,,,0,0,unresolved,
ADB088,의약품허가,2022;2023;2024,5,2,,2022;2023;2024,,0,3,six_year,unique_6year_flowchart_match:2022;2023;2024
ADB089,동물용의약품학,2022;2023;2024,5,2,,,,0,0,unresolved,
ADB090,신약개발정보학,2022;2023;2024,5,2,,2022;2023;2024,,0,3,six_year,unique_6year_flowchart_match:2022;2023;2024
ADB091,종양생물학,2022;2023;2024,2;5,2,,2022,2023;2024,0,3,six_year,grade_1_2_rule:2023;2024;unique_6year_flowchart_match:2022
ADB092,지역약국 필수실무실습1,2022;2023;2024,6,1,,,,0,0,unresolved,
ADB093,의료기관약국 필수실무실습1,2022;2023;2024,6,1,,,,0,0,unresolved,
ADB094,의료기관약국 필수실무실습2,2022;2023;2024,6,1,,,,0,0,unresolved,
ADB095,의료기관약국 필수실무실습3,2022;2023;2024,6,1,,,,0,0,unresolved,
ADB096,의료기관약국 필수실무실습4,2022;2023;2024,6,1,,,,0,0,unresolved,
ADB097,제약산업 필수실무실습,2022;2023;2024,6,1,,,,0,0,unresolved,
