entry_year,status,course_name,normalized_course_name,baseline_grade,baseline_semester,baseline_course_code,baseline_completion_type,baseline_credits,flowchart_grade,flowchart_semester,flowchart_course_name,reason
2022,MATCH,약품면역학,약품면역학,2,2,ADB021,전필,2,2,2,약품면역학,same_name_same_position
2022,MATCH,약품생화학2,약품생화학2,2,2,ADB016,전필,3,2,2,약품생화학2,same_name_same_position
2022,MATCH,약학실험2,약학실험2,2,2,ADB022,전필,2,2,2,약학실험2,same_name_same_position
2022,MATCH,약화학 2,약화학2,2,2,ADB018,전필,3,2,2,약화학2,same_name_same_position
2022,MATCH,의약분자생물학,의약분자생물학,2,2,ADB017,전선,2,2,2,의약분자생물학,same_name_same_position
2022,MATCH,의약품분석학2,의약품분석학2,2,2,ADB020,전필,2,2,2,의약품분석학2,same_name_same_position
2022,MATCH,보건사회약학,보건사회약학,3,1,ADB029,전필,3,3,1,보건사회약학,same_name_same_position
2022,MATCH,생약학1,생약학1,3,1,ADB026,전필,2,3,1,생약학1,same_name_same_position
2022,MATCH,약물학1,약물학1,3,1,ADB024,전필,3,3,1,약물학1,same_name_same_position
2022,MATCH,약품미생물학,약품미생물학,3,1,ADB025,전필,3,3,1,약품미생물학,same_name_same_position
2022,MATCH,약학실험3,약학실험3,3,1,ADB031,전필,2,3,1,약학실험3,same_name_same_position
2022,MATCH,의약품기기분석학1,의약품기기분석학1,3,1,ADB030,전필,2,3,1,의약품기기분석학1,same_name_same_position
2022,MATCH,의약품합성학1,의약품합성학1,3,1,ADB028,전필,2,3,1,의약품합성학1,same_name_same_position
2022,MATCH,제제과학1,제제과학1,3,1,ADB027,전필,3,3,1,제제과학1,same_name_same_position
2022,MATCH,감염성미생물학,감염성미생물학,3,2,ADB034,전필,2,3,2,감염성미생물학,same_name_same_position
2022,MATCH,생약학2,생약학2,3,2,ADB036,전필,2,3,2,생약학2,same_name_same_position
2022,MATCH,약물학2,약물학2,3,2,ADB033,전필,3,3,2,약물학2,same_name_same_position
2022,MATCH,약사 커뮤니케이션,약사커뮤니케이션,3,2,ADB039,전선,2,3,2,약사커뮤니케이션,same_name_same_position
