academic_year,grade,semester,course_name,course_code,completion_type,credits,original_decision_status,original_generation,scenario_a_generation,scenario_a_reason,scenario_b_generation,scenario_b_reason,manual_override,manual_override_reason,final_action,final_generation,final_reason,baseline_included
2022,4,2,약학실험 4,ADA192,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,4,2,제제과학 2,ADA187,전필,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,4,2,생물약제학,ADA033,전선,2,paired_unknown,,,,four_year,derived_opposite_partner_assumption,,,exclude,four_year,derived_opposite_partner_assumption,no
2022,4,2,심혈관계 질환 약물치료학,ADA136,전선,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,4,2,약물동태학,ADA086,전선,2,paired_unknown,,,,four_year,derived_opposite_partner_assumption,,,exclude,four_year,derived_opposite_partner_assumption,no
2022,4,2,약용식물학,ADA203,전선,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,4,2,의약정보학과 커뮤니케이션,ADA204,전선,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,4,2,임상생화학,ADA183,전선,1,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,4,2,임상약학 해설,ADA137,전선,1,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,5,1,감염질환을 위한 항생물질학,ADA209,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,5,1,의료기관약국 예비실무실습,ADA217,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,5,1,의약품 경제성평가,ADA206,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,5,1,제제과학실습,ADA200,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,5,1,지역약국 예비실무실습,ADB075,전필,2,paired_unknown,,,,four_year,derived_opposite_partner_assumption,,,exclude,four_year,derived_opposite_partner_assumption,no
2022,5,1,항암약물요법 및 일반의약품약물요법,ADA202,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,5,1,방제학,ADB078,전선,3,unresolved,,,,,,,,exclude,,scenario_b_unassigned,no
2022,5,1,신경정신계질환 및 신장질환 약물치료학,ADA144,전선,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,5,1,예방약학 1,ADA132,전선,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,5,1,의약품제조관리학,ADB072,전선,3,paired_unknown,,,,four_year,derived_opposite_partner_assumption,,,exclude,four_year,derived_opposite_partner_assumption,no
2022,5,1,임상미생물학,ADA211,전선,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,5,1,임상약물동태학,ADA150,전선,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,5,1,호흡기계 및 소화기계 질환 약물치료학,ADA145,전선,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,5,2,감염성 질환 약물치료학,ADA147,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,5,2,내분비계 및 류마티스 질환 약물치료학,ADA148,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,5,2,보건의약관계법규,ADA194,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,5,2,약무행정실무필수실습,ADB087,전필,1,paired_unknown,,,,four_year,derived_opposite_partner_assumption,,,exclude,four_year,derived_opposite_partner_assumption,no
2022,5,2,임상면역학,ADA190,전필,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,5,2,한약제제학,ADB080,전필,2,paired_unknown,,,,four_year,derived_opposite_partner_assumption,,,exclude,four_year,derived_opposite_partner_assumption,no
2022,5,2,독성학,ADA045,전선,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,5,2,동물용의약품학,ADA121,전선,1,paired_unknown,,,,,,,,exclude,,scenario_b_unassigned,no
2022,5,2,동물용의약품학,ADB089,전선,2,paired_unknown,,,,,,,,exclude,,scenario_b_unassigned,no
2022,5,2,바이오의약품학,ADA225,전선,2,unresolved,,,,,,,,exclude,,scenario_b_unassigned,no
2022,5,2,신약개발임상시험,ADA191,전선,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,5,2,약업경영학,ADA118,전선,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,5,2,약전 및 품질관리학,ADB081,전선,3,paired_unknown,,,,four_year,derived_opposite_partner_assumption,,,exclude,four_year,derived_opposite_partner_assumption,no
2022,5,2,예방약학 2,ADA109,전선,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2022,6,1,의료기관약국 필수실무실습1,ADB093,전필,3,paired_unknown,,,,four_year,derived_opposite_partner_assumption,,,exclude,four_year,derived_opposite_partner_assumption,no
2022,6,1,의료기관약국 필수실무실습2,ADB094,전필,2,paired_unknown,,,,four_year,derived_opposite_partner_assumption,,,exclude,four_year,derived_opposite_partner_assumption,no
2022,6,1,의료기관약국 필수실무실습3,ADB095,전필,3,paired_unknown,,,,four_year,derived_opposite_partner_assumption,,,exclude,four_year,derived_opposite_partner_assumption,no
2022,6,1,의료기관약국 필수실무실습4,ADB096,전필,2,paired_unknown,,,,four_year,derived_opposite_partner_assumption,,,exclude,four_year,derived_opposite_partner_assumption,no
2022,6,1,제약산업 필수실무실습,ADB097,전필,2,paired_unknown,,,,four_year,derived_opposite_partner_assumption,,,exclude,four_year,derived_opposite_partner_assumption,no
2022,6,1,지역약국 필수실무실습1,ADB092,전필,2,paired_unknown,,,,four_year,derived_opposite_partner_assumption,,,exclude,four_year,derived_opposite_partner_assumption,no
2022,6,2,심화실습 1,ADB099,전필,5,paired_unknown,,,,four_year,derived_opposite_partner_assumption,,,exclude,four_year,derived_opposite_partner_assumption,no
2022,6,2,심화실습 2,ADB100,전필,5,paired_unknown,,,,four_year,derived_opposite_partner_assumption,,,exclude,four_year,derived_opposite_partner_assumption,no
2022,6,2,지역약국 필수실무실습2,ADB098,전필,3,paired_unknown,,,,four_year,derived_opposite_partner_assumption,,,exclude,four_year,derived_opposite_partner_assumption,no
2023,3,1,면역학,ADA002,전필,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,3,1,물리약학 1,ADA076,전필,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,3,1,약품분석화학 1,ADA031,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,3,1,약품생화학 1,ADA042,전필,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,3,1,약학실험 1,ADA201,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,3,1,무기 및 방사성 의약품학,ADA199,전선,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,3,1,약사윤리와 진로 적응,ADA212,전선,1,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,3,1,약용식물학,ADA203,전선,2,unresolved,,,,,,,,exclude,,scenario_b_unassigned,no
2023,3,1,약학통계,ADA051,전선,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,3,1,약화학,ADA080,전선,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,3,1,해부생리학,ADA022,전선,3,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
2023,3,2,물리약학 2,ADA041,전필,2,confirmed,four_year,four_year,original_confirmed,four_year,original_confirmed,,,exclude,four_year,original_confirmed,no
