academic_year,diff_type,course_code,baseline_grade,seed_grade,baseline_semester,seed_semester,baseline_course_name,seed_course_name,baseline_completion_type,seed_completion_type,baseline_credits,seed_credits,changed_fields
2024,baseline_only,ADB004,1,,2,,신경생리학,,전선,,1,,
2024,baseline_only,ADB052,4,,1,,무기방사성 의약품학,,전선,,2,,
2024,baseline_only,ADB053,4,,1,,AI 의료약학빅데이터,,전선,,2,,
2024,baseline_only,ADB062,5,,1,,신경정신계 및 신장 질환 약물치료학,,전필,,3,,
2024,baseline_only,ADB063,4,,1,,내분비계 및 류마티스 질환 약물치료,,전선,,2,,
2024,baseline_only,ADB069,4,,2,,감염성 질환 약물치료학,,전필,,2,,
2024,baseline_only,ADB071,4,,2,,호흡기계 및 소화기계 질환 약물치료학,,전선,,2,,
2024,baseline_only,ADB074,5,,1,,약업경영학,,전선,,2,,
2024,baseline_only,ADB077,2,,2,,조제학,,전선,,3,,
2024,baseline_only,ADB079,5,,1,,약물신호전달학,,전선,,2,,
2024,baseline_only,ADB086,5,,2,,의료기관약국예비실습,,전필,,2,,
2024,baseline_only,ADB088,5,,2,,의약품허가,,전선,,3,,
2024,baseline_only,ADB090,5,,2,,신약개발정보학,,전선,,2,,
2024,baseline_only,ADB091,2,,2,,종양생물학,,전선,,2,,
2024,seed_only,ADA053,,4,,1,,조제학,,전선,,,
2024,seed_only,ADA118,,5,,1,,약업경영학,,전선,,2,
2024,seed_only,ADA145,,4,,2,,호흡기계 및 소화기계 질환 약물치료학,,전선,,2,
2024,seed_only,ADA147,,4,,2,,감염성 질환 약물치료학,,전필,,2,
2024,seed_only,ADA148,,4,,1,,내분비계 및 류마티스 질환 약물치료학,,전선,,2,
2024,seed_only,ADA217,,5,,2,,의료기관약국예비실습,,전필,,2,
2024,seed_only,ADA234,,5,,1,,독성학1,,전선,,2,
2024,seed_only,ADA235,,5,,2,,독성학2,,전선,,2,
2024,seed_only,ADB043,,4,,1,,향장품학,,전선,,2,
2024,seed_only,ADB050,,4,,2,,건강기능식품학,,전선,,3,
2024,seed_only,ADB089,,5,,2,,동물용의약품학,,전선,,1,
2024,seed_only,ADB112,,3,,1,,생약학개론,,전선,,2,
2024,seed_only,,,4,,1,,나노약학,,전선,,2,
2024,seed_only,,,4,,1,,방제학,,전선,,,
2024,seed_only,,,5,,1,,약물신호전달학,,전선,,2,
2024,seed_only,,,5,,2,,신약개발정보학,,전선,,2,
2024,seed_only,,,5,,2,,의약품허가,,전선,,3,
2024,seed_only,,,5,,2,,종양생물학,,전선,,2,
