entry_year,grade,semester,course_name,course_code,completion_type,credits,notes,change_group,change_type,change_role,change_effective_year,change_note,previous_credits,previous_completion_type,previous_grade,previous_semester,attribute_change_effective_year,attribute_change_note
,3,1,자원생약학,ADA228,전선,2,source=2024학년도_약학과_교육과정.pdf; page=6,,,,,,,,,,,
,3,1,해부생리학,ADA022,전선,3,source=2024학년도_약학과_교육과정.pdf; page=6,,,,,,,,,,,
,3,2,감염성미생물학,ADB034,전필,2,source=2024학년도_약학과_교육과정.pdf; page=6,,,,,,,,,,,
,3,2,물리약학 2,ADA041,전필,2,source=2024학년도_약학과_교육과정.pdf; page=6,,,,,,,,,,,
,3,2,생약학2,ADB036,전필,2,source=2024학년도_약학과_교육과정.pdf; page=6,,,,,,,,,,,
,3,2,약물학2,ADB033,전필,3,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,약품분석화학 2,ADA074,전필,1,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,약품생화학 2,ADA012,전필,2,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,약학실험 2,ADA195,전필,2,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,약학실험4,ADB041,전필,2,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,약학용어,ADB076,전필,1,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,의약품기기분석학2,ADB040,전필,2,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,의약품합성학,ADA198,전필,2,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,의약품합성학2,ADB038,전필,2,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,제제과학2,ADB037,전필,3,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,독성학,ADB068,전선,3,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,바이러스학,ADA189,전선,3,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,법화학,ADB106,전선,2,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,병태생리학,ADA006,전선,4,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,신경생리학,ADA092,전선,1,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,약사 커뮤니케이션,ADB039,전선,2,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,약품기기분석학,ADA196,전선,3,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,의약분자생물학,ADA181,전선,2,source=2024학년도_약학과_교육과정.pdf; page=7,,,,,,,,,,,
,3,2,의약품설계학,ADA197,전선,2,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,3,2,임상면역학,ADB035,전선,1,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,감염질환을 위한 항생물질학,ADB045,전필,2,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,보건사회약학,ADA193,전필,3,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,생약학 1,ADA065,전필,2,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,약물학 1,ADA030,전필,4,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,약품 미생물학,ADA104,전필,3,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,약학실험 3,ADA184,전필,2,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,예방약학1,ADB044,전필,3,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,의약화학 1,ADA102,전필,2,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,제제과학 1,ADA186,전필,3,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,제제과학 실험,ADB051,전필,2,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,AI 의료약학빅데이터,ADB053,전선,2,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,건강기능식품학,ADB050,전선,2,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,나노약학,ADA229,전선,2,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,나노약학,ADB054,전선,2,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,내분비계 및 류마티스 질환 약물치료,ADB063,전선,2,source=2024학년도_약학과_교육과정.pdf; page=8,,,,,,,,,,,
,4,1,무기방사성 의약품학,ADB052,전선,2,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,1,약물유전체학,ADA063,전선,3,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,1,의약화학1,ADB047,전선,2,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,1,임상미생물학,ADB046,전선,2,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,1,천연물의약품학,ADB048,전선,2,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,1,천연물의약품학,ADA122,전선,2,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,1,향장품학,ADA120,전선,2,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,1,향장품학,ADB043,전선,2,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,2,감염미생물학,ADA208,전필,2,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,2,감염성 질환 약물치료학,ADB069,전필,2,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,2,보건의약관계법규,ADB064,전필,2,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,2,생약학 2,ADA055,전필,2,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,2,약물학 2,ADA001,전필,2,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,2,약학실험 4,ADA192,전필,2,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,2,약학실험5,ADB067,전필,1,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,2,예방약학2,ADB055,전필,2,source=2024학년도_약학과_교육과정.pdf; page=9,,,,,,,,,,,
,4,2,의약화학 2,ADA103,전필,2,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,제제과학 2,ADA187,전필,3,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,바이오의약품 분석,ADB060,전선,2,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,바이오의약품학,ADB056,전선,2,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,법과학,ADA230,전선,2,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,법과학,ADB061,전선,2,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,생물약제학,ADB057,전선,2,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,생물약제학,ADA033,전선,2,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,심혈관계 질환 약물치료학,ADA136,전선,3,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,약물동태학,ADA086,전선,2,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,약물동태학,ADB058,전선,3,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,약사윤리,ADB065,전선,1,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,의약정보학과 커뮤니케이션,ADA204,전선,2,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,의약품설계학,ADB066,전선,3,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,의약화학2,ADB059,전선,2,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,임상생화학,ADA183,전선,1,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,임상약학 해설,ADA137,전선,1,source=2024학년도_약학과_교육과정.pdf; page=10,,,,,,,,,,,
,4,2,임상영양학,ADA233,전선,2,source=2024학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,
,4,2,임상의약정보학,ADA232,전선,2,source=2024학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,
,4,2,호흡기계 및 소화기계 질환 약물치료학,ADB071,전선,2,source=2024학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,
,5,1,감염질환을 위한 항생물질학,ADA209,전필,2,source=2024학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,
,5,1,신경정신계 및 신장 질환 약물치료학,ADB062,전필,3,source=2024학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,
,5,1,의료기관약국 예비실무실습,ADA217,전필,2,source=2024학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,
,5,1,의약정보학과 경제성평가,ADB073,전필,2,source=2024학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,
,5,1,의약품 경제성평가,ADA206,전필,2,source=2024학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,
,5,1,제제과학실습,ADA200,전필,2,source=2024학년도_약학과_교육과정.pdf; page=11,,,,,,,,,,,
