entry_year,major_required_credits,major_elective_credits,notes
2022,118,79,2022학번 약학과 졸업요건 기준. 전공필수 118학점, 전공선택 79학점, 교양 36학점, 총 졸업학점 233학점.
2023,118,79,2023학번 약학과 졸업요건 기준.
2024,119,79,2024학번 약학과 졸업요건 기준.
2025,121,76,2025학번 약학과 졸업요건 기준.
2026,126,71,2026학번 약학과 졸업요건 기준.
