entry_year,category,minimum_credits,minimum_area_count,notes,display_order
2023,기초교양,18,,기초교양 총 18학점 이상 이수,1
2023,균형교양,18,3,총 18학점 이상을 3개 이상의 세부 영역에서 이수,2
