academic_year,program_years,grade,semester,course_name,source_file,box_x,box_y,box_width,box_height,confidence
2024,6,1,1,해부생리학1,24_6년제.jpg,0.019153,0.821098,0.068044,0.017819,0.500
2024,6,1,1,약학기초생물학1,24_6년제.jpg,0.023185,0.630791,0.066028,0.019244,0.500
2024,6,1,1,약학기초화학1,24_6년제.jpg,0.023185,0.178902,0.067540,0.017819,0.500
2024,6,1,2,해부생리학2,24_6년제.jpg,0.101815,0.819672,0.068044,0.017819,0.500
2024,6,1,2,약학기초생물학2,24_6년제.jpg,0.100806,0.631504,0.065524,0.017819,0.500
2024,6,1,2,약학기초화학2,24_6년제.jpg,0.101815,0.178190,0.067540,0.017819,0.500
2024,6,2,1,병태생리학1,24_6년제.jpg,0.186996,0.816821,0.060484,0.017106,0.500
2024,6,2,1,약품생화학1,24_6년제.jpg,0.184980,0.648610,0.067540,0.017106,0.500
2024,6,2,1,약학실험1,24_6년제.jpg,0.184476,0.622951,0.068044,0.017106,0.500
2024,6,2,1,약용식물학,24_6년제.jpg,0.182964,0.461867,0.067540,0.017819,0.500
2024,6,2,1,약화학1,24_6년제.jpg,0.183972,0.332145,0.067540,0.017106,0.500
2024,6,2,1,의약품분석학1,24_6년제.jpg,0.183972,0.283678,0.067540,0.017106,0.500
2024,6,2,1,약학실험1,24_6년제.jpg,0.183468,0.260870,0.068044,0.017106,0.500
2024,6,2,1,물리약학1,24_6년제.jpg,0.188004,0.175339,0.059476,0.019957,0.500
2024,6,2,1,약학통계,24_6년제.jpg,0.188004,0.095510,0.054435,0.017819,0.500
2024,6,2,2,병태생리학2,24_6년제.jpg,0.265625,0.816821,0.067540,0.017106,0.500
2024,6,2,2,약학실험2,24_6년제.jpg,0.265625,0.795438,0.067540,0.017819,0.500
2024,6,2,2,약품생화학2,24_6년제.jpg,0.265625,0.648610,0.067540,0.017106,0.500
2024,6,2,2,의약분자생물학,24_6년제.jpg,0.264617,0.627227,0.067540,0.017106,0.500
2024,6,2,2,약품면역학,24_6년제.jpg,0.265625,0.607270,0.066532,0.017106,0.500
2024,6,2,2,약화학2,24_6년제.jpg,0.262097,0.332145,0.068044,0.017819,0.500
2024,6,2,2,의약품분석학2,24_6년제.jpg,0.264617,0.283678,0.067540,0.017106,0.500
2024,6,2,2,의약품개발사,24_6년제.jpg,0.264617,0.260870,0.067540,0.017106,1.000
2024,6,2,2,물리약학2,24_6년제.jpg,0.267641,0.186030,0.067540,0.017819,0.500
2024,6,2,2,약학실험2,24_6년제.jpg,0.266633,0.161083,0.067540,0.017819,0.500
2024,6,3,1,약물학1,24_6년제.jpg,0.353831,0.818959,0.052923,0.017819,0.500
2024,6,3,1,약품미생물학,24_6년제.jpg,0.347278,0.647897,0.067540,0.017819,0.500
2024,6,3,1,약학실험3,24_6년제.jpg,0.347782,0.620813,0.067540,0.017819,0.500
2024,6,3,1,약물유전체학,24_6년제.jpg,0.349294,0.535282,0.060988,0.022096,0.500
2024,6,3,1,생약학1,24_6년제.jpg,0.348790,0.459016,0.059476,0.017819,0.500
2024,6,3,1,자원생약학,24_6년제.jpg,0.346774,0.433357,0.059980,0.018532,0.500
2024,6,3,1,약학실험3,24_6년제.jpg,0.344758,0.332145,0.067540,0.017819,0.500
2024,6,3,1,의약품기기분석학1,24_6년제.jpg,0.345766,0.283678,0.072077,0.018532,0.500
2024,6,3,1,제제과학1,24_6년제.jpg,0.346774,0.178902,0.068044,0.017819,0.500
2024,6,3,1,보건사회약학,24_6년제.jpg,0.347278,0.089808,0.068044,0.017819,0.500
2024,6,3,2,약물학2,24_6년제.jpg,0.434476,0.818247,0.049395,0.019244,0.500
2024,6,3,2,약학용어,24_6년제.jpg,0.432964,0.773343,0.055444,0.019957,0.500
2024,6,3,2,감염성미생물학,24_6년제.jpg,0.428427,0.647897,0.067540,0.017819,0.500
2024,6,3,2,임상면역학,24_6년제.jpg,0.426915,0.622238,0.067540,0.017819,0.500
2024,6,3,2,독성학,24_6년제.jpg,0.433468,0.536707,0.049395,0.019244,0.500
2024,6,3,2,생약학2,24_6년제.jpg,0.429940,0.458304,0.057460,0.018532,0.500
2024,6,3,2,약학실험4,24_6년제.jpg,0.431452,0.432644,0.054940,0.017819,0.500
2024,6,3,2,의약품합성학,24_6년제.jpg,0.425907,0.332145,0.068044,0.017819,0.500
2024,6,3,2,의약품기기분석학2,24_6년제.jpg,0.426915,0.286529,0.070565,0.016393,0.500
2024,6,3,2,법화학,24_6년제.jpg,0.430948,0.260157,0.057460,0.017819,0.500
2024,6,3,2,제제과학2,24_6년제.jpg,0.427923,0.176764,0.068044,0.017819,0.500
2024,6,3,2,약학실험4,24_6년제.jpg,0.431452,0.151818,0.061996,0.017819,0.500
2024,6,3,2,약사커뮤니케이션,24_6년제.jpg,0.424899,0.088382,0.072581,0.019244,1.000
2024,6,4,1,내분비계 및 류마터스질환 약물치료학,24_6년제.jpg,0.509073,0.805417,0.067540,0.035638,0.500
2024,6,4,1,조제학,24_6년제.jpg,0.515121,0.756237,0.054940,0.017819,0.500
2024,6,4,1,방제학,24_6년제.jpg,0.515625,0.732003,0.053427,0.017819,0.500
2024,6,4,1,감염질환을 위한 항생물질학,24_6년제.jpg,0.511089,0.640770,0.067540,0.037063,0.750
2024,6,4,1,임상미생물학,24_6년제.jpg,0.509577,0.616536,0.067540,0.018532,0.500
2024,6,4,1,예방약학1,24_6년제.jpg,0.509577,0.541696,0.068044,0.017819,0.500
2024,6,4,1,나노약학,24_6년제.jpg,0.512097,0.344975,0.067540,0.018532,0.500
2024,6,4,1,의약화학1,24_6년제.jpg,0.511593,0.325731,0.068044,0.017819,0.500
2024,6,4,1,천연물의약품학,24_6년제.jpg,0.510081,0.283678,0.068044,0.017819,0.500
2024,6,4,1,제제과학 실험,24_6년제.jpg,0.507560,0.194583,0.067540,0.017819,0.500
2024,6,4,1,향장품학,24_6년제.jpg,0.510081,0.167498,0.068044,0.017819,0.500
2024,6,4,2,감염성 질환 약물치료학,24_6년제.jpg,0.590222,0.803991,0.068044,0.037063,0.750
2024,6,4,2,호흡기계 및 소화기계질환 약물치료학,24_6년제.jpg,0.588710,0.763364,0.068044,0.034212,0.500
2024,6,4,2,심혈관계질환 및 약물치료학,24_6년제.jpg,0.592238,0.691376,0.067540,0.037063,0.750
2024,6,4,2,바이오의약품학,24_6년제.jpg,0.589214,0.637919,0.068044,0.017819,0.500
2024,6,4,2,예방약학2,24_6년제.jpg,0.591734,0.542409,0.067540,0.018532,0.500
2024,6,4,2,임상영양학,24_6년제.jpg,0.593750,0.516037,0.068044,0.017819,0.500
2024,6,4,2,의약품설계학,24_6년제.jpg,0.588710,0.354954,0.068044,0.017819,0.500
2024,6,4,2,의약화학2,24_6년제.jpg,0.589718,0.330720,0.067540,0.017819,0.500
2024,6,4,2,바이오의약품 분석,24_6년제.jpg,0.589214,0.282252,0.068548,0.017819,1.000
2024,6,4,2,생물약제학,24_6년제.jpg,0.595262,0.191732,0.054940,0.018532,0.500
2024,6,4,2,약물동태학,24_6년제.jpg,0.594254,0.167498,0.057460,0.017819,0.500
2024,6,4,2,보건의약관계법규,24_6년제.jpg,0.588710,0.103350,0.072077,0.017819,0.500
2024,6,4,2,약사윤리,24_6년제.jpg,0.591230,0.080542,0.068044,0.017819,0.500
2024,6,5,1,지역약국예비실무실습,24_6년제.jpg,0.672379,0.806842,0.067540,0.037063,0.500
2024,6,5,1,항암약물요법1,24_6년제.jpg,0.671371,0.784034,0.068044,0.017819,0.500
2024,6,5,1,신경정신계 질환 약물치료학,24_6년제.jpg,0.671875,0.745545,0.068044,0.033500,0.750
2024,6,5,1,신장질환 약물치료학,24_6년제.jpg,0.673387,0.709907,0.067540,0.029223,1.000
2024,6,5,1,일반의약품학,24_6년제.jpg,0.673387,0.684961,0.067540,0.018532,0.500
2024,6,5,1,약물신호전달학,24_6년제.jpg,0.674395,0.637206,0.067540,0.019244,0.500
2024,6,5,1,의약품제조관리학,24_6년제.jpg,0.670363,0.180328,0.071573,0.019957,0.500
2024,6,5,1,약업경영학,24_6년제.jpg,0.673891,0.108339,0.068044,0.017819,0.500
2024,6,5,1,의약정보학과 경제성평가,24_6년제.jpg,0.673387,0.064861,0.068044,0.037063,0.500
2024,6,5,2,임상약학해설,24_6년제.jpg,0.755544,0.818959,0.060988,0.017819,0.500
2024,6,5,2,항암약물요법2,24_6년제.jpg,0.755544,0.784034,0.061492,0.026372,0.500
2024,6,5,2,의료기관약국예비실습,24_6년제.jpg,0.754032,0.752673,0.068044,0.020670,0.500
2024,6,5,2,의약품허가,24_6년제.jpg,0.752520,0.729152,0.067540,0.017819,0.500
2024,6,5,2,신약개발정보학,24_6년제.jpg,0.753024,0.634355,0.067540,0.017819,0.500
2024,6,5,2,종양생물학,24_6년제.jpg,0.753024,0.607983,0.068044,0.017819,0.500
2024,6,5,2,동물용의약품학,24_6년제.jpg,0.753528,0.542409,0.068044,0.017819,0.500
2024,6,5,2,건강기능식품학,24_6년제.jpg,0.753528,0.517463,0.068044,0.017819,0.500
2024,6,5,2,한약제제학,24_6년제.jpg,0.752520,0.457591,0.067540,0.017819,0.500
2024,6,5,2,약전 및 품질관리학,24_6년제.jpg,0.752016,0.167498,0.067540,0.037063,0.750
2024,6,5,2,약무행정실무필수실습,24_6년제.jpg,0.755544,0.070563,0.067540,0.037063,0.500
2024,6,6,1,지역약국필수실무실습1,24_6년제.jpg,0.834173,0.486814,0.067540,0.037063,0.500
2024,6,6,1,의료기관약국필수실무실습1,24_6년제.jpg,0.832157,0.435495,0.073589,0.037063,0.500
2024,6,6,1,의료기관약국필수실무실습2,24_6년제.jpg,0.832157,0.435495,0.073589,0.037063,0.500
2024,6,6,1,의료기관약국필수실무실습3,24_6년제.jpg,0.832157,0.435495,0.073589,0.037063,0.500
2024,6,6,1,의료기관약국필수실무실습4,24_6년제.jpg,0.832157,0.435495,0.073589,0.037063,0.500
2024,6,6,1,제약산업필수실무실습,24_6년제.jpg,0.847278,0.347113,0.052923,0.037063,0.500
2024,6,6,2,지역약국필수실무실습2,24_6년제.jpg,0.915323,0.488952,0.067540,0.037063,0.500
2024,6,6,2,심화실습 1,24_6년제.jpg,0.916835,0.377049,0.067540,0.017819,0.500
2024,6,6,2,심화실습 2,24_6년제.jpg,0.916835,0.377049,0.067540,0.017819,0.500
