entry_year,grade,semester,course_name,course_code,completion_type,credits,notes,change_group,change_type,change_role,change_effective_year,change_note,previous_credits,previous_completion_type,previous_grade,previous_semester,attribute_change_effective_year,attribute_change_note,decision_status,provisional_generation,decision_reason,generation_evidence,generation_evidence_reason,lineage_candidate,lineage_pair_status,lineage_reason,continuity_candidate,continuity_strength,continuity_status,continuity_reason,official_relation,relation_types,relation_counterpart_codes,relation_counterpart_names
,5,1,지역약국 예비실무실습,ADA115,전필,2,source=2022학년도_약학과_교육과정.pdf; page=9; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_both_flowcharts,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,5,1,지역약국 예비실무실습,ADB075,전필,2,source=2022학년도_약학과_교육과정.pdf; page=9; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_both_flowcharts,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,5,1,방제학,ADB078,전선,3,source=2022학년도_약학과_교육과정.pdf; page=9; extractor=vision,,,,,,,,,,,,unresolved,,insufficient_generation_evidence,unresolved,no_direct_flowchart_evidence,,,,,,no_evidence,no_same_code_generation_evidence_within_two_year_window,no,,,
,5,1,의약품제조관리학,ADB072,전선,3,source=2022학년도_약학과_교육과정.pdf; page=9; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,5,1,의약품제조관리학,ADA171,전선,3,source=2022학년도_약학과_교육과정.pdf; page=9; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,5,2,약무행정실무필수실습,ADA174,전필,1,source=2022학년도_약학과_교육과정.pdf; page=10; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_both_flowcharts,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,5,2,약무행정실무필수실습,ADB087,전필,1,source=2022학년도_약학과_교육과정.pdf; page=10; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_both_flowcharts,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,5,2,한약제제학,ADB080,전필,2,source=2022학년도_약학과_교육과정.pdf; page=10; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_both_flowcharts,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,5,2,한약제제학,ADA140,전필,2,source=2022학년도_약학과_교육과정.pdf; page=10; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_both_flowcharts,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,5,2,동물용의약품학,ADA121,전선,1,source=2022학년도_약학과_교육과정.pdf; page=10; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_both_flowcharts,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,5,2,동물용의약품학,ADB089,전선,2,source=2022학년도_약학과_교육과정.pdf; page=10; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_both_flowcharts,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,5,2,바이오의약품학,ADA225,전선,2,source=2022학년도_약학과_교육과정.pdf; page=10; extractor=vision,,,,,,,,,,,,unresolved,,insufficient_generation_evidence,unresolved,no_direct_flowchart_evidence,,,,,,no_evidence,no_same_code_generation_evidence_within_two_year_window,yes,equivalent,ADA107,생물의약품학
,5,2,약전 및 품질관리학,ADA167,전선,3,source=2022학년도_약학과_교육과정.pdf; page=11; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_both_flowcharts,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,5,2,약전 및 품질관리학,ADB081,전선,3,source=2022학년도_약학과_교육과정.pdf; page=11; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_both_flowcharts,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,6,1,의료기관약국 필수실무실습 1,ADA213,전필,3,source=2022학년도_약학과_교육과정.pdf; page=11; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,yes,equivalent;substitute,ADA151,병원약학실무필수실습1
,6,1,의료기관약국 필수실무실습 2,ADA214,전필,2,source=2022학년도_약학과_교육과정.pdf; page=11; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,yes,equivalent;substitute,ADA152,병원약학실무필수실습2
,6,1,의료기관약국 필수실무실습 3,ADA215,전필,3,source=2022학년도_약학과_교육과정.pdf; page=11; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,yes,equivalent;substitute,ADA169,병원약학실무필수실습3
,6,1,의료기관약국 필수실무실습 4,ADA216,전필,2,source=2022학년도_약학과_교육과정.pdf; page=11; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,yes,equivalent;substitute,ADA170,병원약학실무필수실습4
,6,1,의료기관약국 필수실무실습1,ADB093,전필,3,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,6,1,의료기관약국 필수실무실습2,ADB094,전필,2,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,6,1,의료기관약국 필수실무실습3,ADB095,전필,3,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
,6,1,의료기관약국 필수실무실습4,ADB096,전필,2,source=2022학년도_약학과_교육과정.pdf; page=12; extractor=vision,,,,,,,,,,,,paired_unknown,,ambiguous_duplicate_pair_without_row_level_resolution,ambiguous,multiple_pdf_rows_match_6year_flowchart,unresolved,unresolved,no_adjacent_year_direct_generation_evidence,,,,,no,,,
