academic_year,semester,course_code,course_name,completion_type,credits,recommended_year,department
2025,1,ADA115,"지역약국 예비실무실습","전필",2.0,5,"약학과"
2026,1,ADA115,"지역약국 예비실무실습","전필",2.0,5,"약학과"
2022,1,ADA219,"지역약국 필수실무실습 1","전필",2.0,6,"약학과"
2023,1,ADA219,"지역약국 필수실무실습 1","전필",2.0,6,"약학과"
2024,1,ADA219,"지역약국 필수실무실습 1","전필",2.0,6,"약학과"
2025,1,ADA219,"지역약국 필수실무실습 1","전필",2.0,6,"약학과"
2026,1,ADA219,"지역약국 필수실무실습 1","전필",2.0,6,"약학과"
2022,2,ADA220,"지역약국 필수실무실습 2","전필",3.0,6,"약학과"
2023,2,ADA220,"지역약국 필수실무실습 2","전필",3.0,6,"약학과"
2024,2,ADA220,"지역약국 필수실무실습 2","전필",3.0,6,"약학과"
2025,2,ADA220,"지역약국 필수실무실습 2","전필",3.0,6,"약학과"
2026,2,ADA220,"지역약국 필수실무실습 2","전필",3.0,6,"약학과"
2022,1,ADA122,"천연물의약품학","전선",2.0,4,"약학과"
2023,1,ADA122,"천연물의약품학","전선",2.0,4,"약학과"
2024,1,ADA122,"천연물의약품학","전선",2.0,4,"약학과"
2025,1,ADB048,"천연물의약품학","전선",2.0,3,"약학과"
2026,1,ADB048,"천연물의약품학","전선",2.0,3,"약학과"
2026,2,ADA237,"특수환자군 정밀의료학","전필",2.0,5,"약학과"
2022,2,ADA140,"한약제제학","전필",2.0,5,"약학과"
2023,2,ADA140,"한약제제학","전필",2.0,5,"약학과"
2024,2,ADA140,"한약제제학","전필",2.0,5,"약학과"
2025,2,ADA140,"한약제제학","전필",2.0,5,"약학과"
2026,2,ADA140,"한약제제학","전필",2.0,5,"약학과"
2022,1,ADA202,"항암약물요법 및 일반의약품약물요법","전필",2.0,5,"약학과"
2023,1,ADA202,"항암약물요법 및 일반의약품약물요법","전필",2.0,5,"약학과"
2024,1,ADB103,"항암약물요법1","전필",2.0,5,"약학과"
2025,1,ADB103,"항암약물요법1","전필",2.0,5,"약학과"
2026,1,ADB103,"항암약물요법1","전필",2.0,5,"약학과"
2024,2,ADB107,"항암약물요법2","전선",2.0,5,"약학과"
2025,2,ADB107,"항암약물요법2","전선",2.0,5,"약학과"
2022,1,ADA022,"해부생리학","전선",3.0,3,"약학과"
2022,1,ADB001,"해부생리학","전선",3.0,1,"약학과"
2023,1,ADA022,"해부생리학","전선",3.0,3,"약학과"
2023,1,ADB101,"해부생리학1","전선",2.0,1,"약학과"
2024,1,ADB101,"해부생리학1","전선",2.0,1,"약학과"
2025,1,ADB101,"해부생리학1","전선",2.0,1,"약학과"
2026,1,ADB101,"해부생리학1","전선",3.0,1,"약학과"
2023,2,ADB102,"해부생리학2","전선",2.0,1,"약학과"
2024,2,ADB102,"해부생리학2","전선",2.0,1,"약학과"
2025,2,ADB102,"해부생리학2","전선",2.0,1,"약학과"
2026,2,ADB102,"해부생리학2","전선",2.0,1,"약학과"
2022,1,ADA120,"향장품학","전선",2.0,4,"약학과"
2023,1,ADA120,"향장품학","전선",2.0,4,"약학과"
2024,1,ADA120,"향장품학","전선",2.0,4,"약학과"
2026,1,ADB043,"향장품학","전선",2.0,4,"약학과"
2026,2,ADA238,"혈액종양약물치료학","전선",2.0,4,"약학과"
2022,1,ADA145,"호흡기계 및 소화기계 질환 약물치료학","전선",2.0,5,"약학과"
2023,1,ADA145,"호흡기계 및 소화기계 질환 약물치료학","전선",2.0,5,"약학과"
2024,1,ADA145,"호흡기계 및 소화기계 질환 약물치료학","전선",2.0,5,"약학과"
2025,1,ADA145,"호흡기계 및 소화기계 질환 약물치료학","전선",2.0,5,"약학과"
2026,1,ADA145,"호흡기계 및 소화기계 질환 약물치료학","전선",2.0,5,"약학과"
2026,1,ADA236,"환경보건약학","전선",2.0,5,"약학과"
