academic_year,semester,course_code,course_name,completion_type,credits,recommended_year,department
2022,2,ADA092,"신경생리학","전선",1.0,3,"약학과"
2022,2,ADB004,"신경생리학","전선",1.0,1,"약학과"
2023,2,ADA092,"신경생리학","전선",1.0,3,"약학과"
2022,1,ADA144,"신경정신계질환 및 신장질환 약물치료학","전선",3.0,5,"약학과"
2023,1,ADA144,"신경정신계질환 및 신장질환 약물치료학","전선",3.0,5,"약학과"
2024,1,ADB104,"신경정신계질환 약물치료학","전선",2.0,5,"약학과"
2025,1,ADB104,"신경정신계질환 약물치료학","전선",2.0,5,"약학과"
2024,1,ADB108,"신장질환약물치료학","전선",2.0,5,"약학과"
2025,1,ADB108,"신장질환약물치료학","전필",2.0,5,"약학과"
2026,2,ADB108,"신장질환약물치료학","전필",2.0,5,"약학과"
2022,2,ADA136,"심혈관계 질환 약물치료학","전선",3.0,4,"약학과"
2023,2,ADA136,"심혈관계 질환 약물치료학","전선",3.0,4,"약학과"
2024,2,ADA136,"심혈관계 질환 약물치료학","전선",3.0,4,"약학과"
2025,2,ADB082,"심혈관계 질환 약물치료학","전선",3.0,4,"약학과"
2026,2,ADB082,"심혈관계 질환 약물치료학","전선",3.0,4,"약학과"
2022,2,ADA226,"심화실습 1","전필",5.0,6,"약학과"
2023,2,ADA226,"심화실습 1","전필",5.0,6,"약학과"
2024,2,ADA226,"심화실습 1","전필",5.0,6,"약학과"
2025,2,ADA226,"심화실습 1","전필",5.0,6,"약학과"
2026,2,ADA226,"심화실습 1","전필",5.0,6,"약학과"
2022,2,ADA227,"심화실습 2","전필",5.0,6,"약학과"
2023,2,ADA227,"심화실습 2","전필",5.0,6,"약학과"
2024,2,ADA227,"심화실습 2","전필",5.0,6,"약학과"
2025,2,ADA227,"심화실습 2","전필",5.0,6,"약학과"
2026,2,ADA227,"심화실습 2","전필",5.0,6,"약학과"
2022,2,ADA174,"약무행정실무필수실습","전필",1.0,5,"약학과"
2023,2,ADA174,"약무행정실무필수실습","전필",1.0,5,"약학과"
2024,2,ADA174,"약무행정실무필수실습","전필",1.0,5,"약학과"
2025,2,ADA174,"약무행정실무필수실습","전필",1.0,5,"약학과"
2026,2,ADA174,"약무행정실무필수실습","전필",1.0,5,"약학과"
2022,2,ADA086,"약물동태학","전선",2.0,4,"약학과"
2023,2,ADA086,"약물동태학","전선",2.0,4,"약학과"
2025,2,ADB058,"약물동태학","전선",3.0,4,"약학과"
2026,2,ADB058,"약물동태학","전선",3.0,4,"약학과"
2026,1,ADB110,"약물송달학의 원리와 적용","전선",2.0,4,"약학과"
2023,1,ADA063,"약물유전체학","전선",3.0,4,"약학과"
2024,1,ADB085,"약물유전체학","전선",3.0,3,"약학과"
2026,1,ADB085,"약물유전체학","전선",3.0,3,"약학과"
2022,1,ADA030,"약물학 1","전필",4.0,4,"약학과"
2023,1,ADA030,"약물학 1","전필",4.0,4,"약학과"
2024,1,ADA030,"약물학 1","전필",4.0,4,"약학과"
2022,2,ADA001,"약물학 2","전필",2.0,4,"약학과"
2023,2,ADA001,"약물학 2","전필",2.0,4,"약학과"
2024,2,ADA001,"약물학 2","전필",2.0,4,"약학과"
2024,1,ADB024,"약물학1","전필",3.0,3,"약학과"
2025,1,ADB024,"약물학1","전필",3.0,3,"약학과"
2026,1,ADB024,"약물학1","전필",3.0,3,"약학과"
2024,2,ADB033,"약물학2","전필",3.0,3,"약학과"
2026,2,ADB033,"약물학2","전필",3.0,3,"약학과"
2024,2,ADB039,"약사 커뮤니케이션","전선",2.0,3,"약학과"
2025,2,ADB039,"약사 커뮤니케이션","전선",2.0,3,"약학과"
2026,2,ADB039,"약사 커뮤니케이션","전선",2.0,3,"약학과"
2026,2,ADA239,"약사와 건강증진","전선",2.0,5,"약학과"
2025,2,ADB065,"약사윤리","전선",1.0,4,"약학과"
2026,2,ADB065,"약사윤리","전선",1.0,4,"약학과"
2022,1,ADA212,"약사윤리와 진로 적응","전선",1.0,3,"약학과"
2023,1,ADA212,"약사윤리와 진로 적응","전선",1.0,3,"약학과"
2022,2,ADA118,"약업경영학","전선",2.0,5,"약학과"
2023,2,ADA118,"약업경영학","전선",2.0,5,"약학과"
2024,2,ADA118,"약업경영학","전선",2.0,5,"약학과"
2025,2,ADA118,"약업경영학","전선",2.0,5,"약학과"
2026,1,ADA118,"약업경영학","전선",2.0,5,"약학과"
2023,1,ADA203,"약용식물학","전선",2.0,3,"약학과"
2024,1,ADB049,"약용식물학","전필",2.0,2,"약학과"
2025,1,ADB049,"약용식물학","전필",2.0,2,"약학과"
2026,1,ADB049,"약용식물학","전필",2.0,2,"약학과"
2022,2,ADA167,"약전 및 품질관리학","전선",3.0,5,"약학과"
2023,2,ADA167,"약전 및 품질관리학","전선",3.0,5,"약학과"
2024,2,ADA167,"약전 및 품질관리학","전선",3.0,5,"약학과"
2025,2,ADA167,"약전 및 품질관리학","전선",3.0,5,"약학과"
2026,2,ADA167,"약전 및 품질관리학","전선",3.0,5,"약학과"
2022,1,ADA104,"약품 미생물학","전필",3.0,4,"약학과"
2023,1,ADA104,"약품 미생물학","전필",3.0,4,"약학과"
2024,1,ADA104,"약품 미생물학","전필",3.0,4,"약학과"
2022,2,ADA196,"약품기기분석학","전선",3.0,3,"약학과"
2023,2,ADA196,"약품기기분석학","전선",3.0,3,"약학과"
2023,2,ADB021,"약품면역학","전필",2.0,2,"약학과"
2024,2,ADB021,"약품면역학","전필",2.0,2,"약학과"
2025,2,ADB021,"약품면역학","전필",2.0,2,"약학과"
2026,2,ADB021,"약품면역학","전필",2.0,2,"약학과"
2024,1,ADB025,"약품미생물학","전필",3.0,3,"약학과"
2025,1,ADB025,"약품미생물학","전필",3.0,3,"약학과"
2026,1,ADB025,"약품미생물학","전필",3.0,3,"약학과"
2022,1,ADA031,"약품분석화학 1","전필",2.0,3,"약학과"
2023,1,ADA031,"약품분석화학 1","전필",2.0,3,"약학과"
2022,2,ADA074,"약품분석화학 2","전필",1.0,3,"약학과"
2023,2,ADA074,"약품분석화학 2","전필",1.0,3,"약학과"
2022,1,ADA042,"약품생화학 1","전필",3.0,3,"약학과"
2022,2,ADA012,"약품생화학 2","전필",2.0,3,"약학과"
2023,2,ADA012,"약품생화학 2","전필",2.0,3,"약학과"
2023,1,ADB008,"약품생화학1","전필",3.0,2,"약학과"
2024,1,ADB008,"약품생화학1","전필",3.0,2,"약학과"
2025,1,ADB008,"약품생화학1","전필",3.0,2,"약학과"
2026,1,ADB008,"약품생화학1","전필",3.0,2,"약학과"
2023,2,ADB016,"약품생화학2","전필",3.0,2,"약학과"
2024,2,ADB016,"약품생화학2","전필",2.0,2,"약학과"
2025,2,ADB016,"약품생화학2","전필",3.0,2,"약학과"
2026,2,ADB016,"약품생화학2","전필",3.0,2,"약학과"
2022,1,ADB002,"약학기초생물학1","전선",3.0,1,"약학과"
2023,1,ADB002,"약학기초생물학1","전선",3.0,1,"약학과"
2024,1,ADB002,"약학기초생물학1","전선",3.0,1,"약학과"
2025,1,ADB002,"약학기초생물학1","전선",3.0,1,"약학과"
2026,1,ADB002,"약학기초생물학1","전선",3.0,1,"약학과"
2022,2,ADB005,"약학기초생물학2","전선",3.0,1,"약학과"
2023,2,ADB005,"약학기초생물학2","전선",3.0,1,"약학과"
2024,2,ADB005,"약학기초생물학2","전선",3.0,1,"약학과"
2025,2,ADB005,"약학기초생물학2","전선",3.0,1,"약학과"
2026,2,ADB005,"약학기초생물학2","전선",3.0,1,"약학과"
