academic_year,program_years,grade,semester,course_name,source_file,box_x,box_y,box_width,box_height,confidence
2026,6,4,1,향장품학,26_6년제.png,0.509167,0.167453,0.065000,0.017689,0.500
2026,6,4,1,제제과학 실험,26_6년제.png,0.509583,0.143278,0.064583,0.017099,0.500
2026,6,4,2,심혈관계질환 및 약물치료학,26_6년제.png,0.590833,0.776533,0.067083,0.035967,0.750
2026,6,4,2,임상약학해설,26_6년제.png,0.590833,0.749410,0.067500,0.020047,0.500
2026,6,4,2,혈액종양약물치료학,26_6년제.png,0.590417,0.719929,0.067500,0.022406,0.500
2026,6,4,2,예방약학2,26_6년제.png,0.589583,0.548939,0.067083,0.017689,0.500
2026,6,4,2,건강기능식품학,26_6년제.png,0.590000,0.524175,0.067500,0.017689,1.000
2026,6,4,2,약학실험5,26_6년제.png,0.589583,0.500000,0.067500,0.017099,0.500
2026,6,4,2,의약화학2,26_6년제.png,0.590417,0.334906,0.067500,0.017099,0.500
2026,6,4,2,생물약제학,26_6년제.png,0.595000,0.192807,0.054583,0.018278,0.500
2026,6,4,2,약물동태학,26_6년제.png,0.594167,0.168632,0.056667,0.017099,0.500
2026,6,4,2,보건의약관계법규,26_6년제.png,0.588333,0.104953,0.071667,0.017099,0.500
2026,6,4,2,약사윤리,26_6년제.png,0.591250,0.081958,0.067083,0.017099,0.500
2026,6,5,1,지역약국예비실무실습,26_6년제.png,0.673333,0.804835,0.064167,0.035967,0.500
2026,6,5,1,의료기관약국예비실무실습,26_6년제.png,0.673750,0.762972,0.062917,0.037146,0.500
2026,6,5,1,항암약물요법1,26_6년제.png,0.674167,0.739976,0.062500,0.017099,0.500
2026,6,5,1,호흡기계 및 소화기계질환 약물치료학,26_6년제.png,0.671250,0.696344,0.067500,0.037146,0.750
2026,6,5,1,동물용의약품학,26_6년제.png,0.672083,0.672170,0.067500,0.018868,0.500
2026,6,5,1,임상생화학,26_6년제.png,0.670833,0.630896,0.067083,0.019458,0.500
2026,6,5,1,독성학1,26_6년제.png,0.675000,0.542453,0.060833,0.018868,0.500
2026,6,5,1,환경보건약학,26_6년제.png,0.671250,0.517099,0.067500,0.018868,0.500
2026,6,5,1,의약품제조관리학,26_6년제.png,0.671667,0.193986,0.067917,0.019458,0.500
2026,6,5,1,임상약물동태학,26_6년제.png,0.671667,0.165684,0.068333,0.019458,0.500
2026,6,5,1,약업경영학,26_6년제.png,0.672500,0.103774,0.067500,0.018868,0.500
2026,6,5,1,의약정보학과 경제성 평가,26_6년제.png,0.672500,0.063090,0.067500,0.033019,0.750
2026,6,5,2,감염성 질환 약물치료학,26_6년제.png,0.755833,0.804835,0.060000,0.033608,0.500
2026,6,5,2,내분비계 및 류마티스질환 약물치료학,26_6년제.png,0.753333,0.764151,0.066667,0.035967,0.500
2026,6,5,2,신장질환 약물치료학,26_6년제.png,0.752500,0.732901,0.067500,0.025354,0.500
2026,6,5,2,특수환자군 정밀의료학,26_6년제.png,0.752917,0.695165,0.067500,0.033019,0.500
2026,6,5,2,바이오의약품학,26_6년제.png,0.752917,0.627358,0.067500,0.023585,0.500
