relation_type,old_course_code,old_course_name,new_course_code,new_course_name,designation_year,cross_designation,source_file,source_page,source_row,needs_review,review_reason
substitute,ADA073,항생물질학,ADA209,감염질환을 위한 항생물질학,2019,equivalent,2025학년도_약학과_교육과정.pdf,11,1,no,
substitute,ADA083,유기약품합성화학,ADA198,의약품합성학,2018,equivalent,2025학년도_약학과_교육과정.pdf,11,2,no,
substitute,ADA133,병원약학,ADA217,의료기관약국 예비실무실습,2020,equivalent,2025학년도_약학과_교육과정.pdf,11,3,no,
substitute,ADA151,병원약학실무필수실습1,ADA213,의료기관약국 필수실무실습 1,2020,equivalent,2025학년도_약학과_교육과정.pdf,11,4,no,
substitute,ADA152,병원약학실무필수실습2,ADA214,의료기관약국 필수실무실습 2,2020,equivalent,2025학년도_약학과_교육과정.pdf,11,5,no,
substitute,ADA153,지역약국실무필수실습1,ADA219,지역약국 필수실무실습 1,2020,equivalent,2025학년도_약학과_교육과정.pdf,11,6,no,
substitute,ADA154,지역약국실무필수실습2,ADA220,지역약국 필수실무실습 2,2020,equivalent,2025학년도_약학과_교육과정.pdf,11,7,no,
substitute,ADA155,제약산업실무필수실습,ADA218,제약산업 필수실무실습,2020,equivalent,2025학년도_약학과_교육과정.pdf,11,8,no,
substitute,ADA169,병원약학실무필수실습3,ADA215,의료기관약국 필수실무실습 3,2020,equivalent,2025학년도_약학과_교육과정.pdf,11,9,no,
substitute,ADA170,병원약학실무필수실습4,ADA216,의료기관약국 필수실무실습 4,2020,equivalent,2025학년도_약학과_교육과정.pdf,11,10,no,
equivalent,ADA025,약사법규,ADA194,보건의약관계법규,2017,,2025학년도_약학과_교육과정.pdf,11,1,no,
equivalent,ADA073,항생물질학,ADA209,감염질환을 위한 항생물질학,2019,substitute,2025학년도_약학과_교육과정.pdf,11,2,no,
equivalent,ADA083,유기약품합성화학,ADA198,의약품합성학,2017,substitute,2025학년도_약학과_교육과정.pdf,11,3,no,
equivalent,ADA133,병원약학,ADA217,의료기관약국 예비실무실습,2020,substitute,2025학년도_약학과_교육과정.pdf,11,4,no,
equivalent,ADA151,병원약학실무필수실습1,ADA213,의료기관약국 필수실무실습 1,2020,substitute,2025학년도_약학과_교육과정.pdf,11,5,no,
equivalent,ADA152,병원약학실무필수실습2,ADA214,의료기관약국 필수실무실습 2,2020,substitute,2025학년도_약학과_교육과정.pdf,11,6,no,
equivalent,ADA153,지역약국실무필수실습1,ADA219,지역약국 필수실무실습 1,2020,substitute,2025학년도_약학과_교육과정.pdf,11,7,no,
equivalent,ADA154,지역약국실무필수실습2,ADA220,지역약국 필수실무실습 2,2020,substitute,2025학년도_약학과_교육과정.pdf,11,8,no,
equivalent,ADA155,제약산업실무필수실습,ADA218,제약산업 필수실무실습,2020,substitute,2025학년도_약학과_교육과정.pdf,11,9,no,
equivalent,ADA169,병원약학실무필수실습3,ADA215,의료기관약국 필수실무실습 3,2020,substitute,2025학년도_약학과_교육과정.pdf,11,10,no,
equivalent,ADA170,병원약학실무필수실습4,ADA216,의료기관약국 필수실무실습 4,2020,substitute,2025학년도_약학과_교육과정.pdf,11,11,no,
equivalent,ADA172,제제공학 실습,ADA200,제제과학실습,2017,,2025학년도_약학과_교육과정.pdf,11,12,no,
