학년도,학기,이수구분,교과목,교과목명,분반,학점,담당교수,개설학과,등급패스,역량구분,출력,중간문제,기말문제
2025,2,전필,ADA140,한약제제학,1,2.0,길윤서,약학과(5),등급,전공능력,,,
2025,2,전필,ADA147,감염성 질환 약물치료학,1,2.0,천부순,약학과(5),등급,전공능력,,,
2025,2,전필,ADA148,내분비계 및 류마티스 질환 약물치료학,1,2.0,천부순,약학과(5),등급,전공능력,,,
2025,2,전필,ADA174,약무행정실무필수실습,1,1.0,김성옥,약학과(5),등급,전공능력,,,
2025,2,전필,ADA190,임상면역학,1,3.0,김연정,약학과(5),등급,전공능력,,,
2025,2,전필,ADA194,보건의약관계법규,1,2.0,김성옥,약학과(5),등급,전공능력,,,
2025,2,전필,ADA198,의약품합성학,1,2.0,허준성,약학과(3),등급,전공능력,,,
2025,2,전필,ADA220,지역약국 필수실무실습 2,1,3.0,"공경록,김경진,김승환,박형덕,이희영,정순옥,천부순,최방선",약학과(6),등급,전공능력,,,
2025,2,전필,ADA226,심화실습 1,1,5.0,"길윤서,민경아,박유미,조관형,허준성",약학과(6),등급,전공능력,,,
2025,2,전필,ADA226,심화실습 1,2,5.0,"김성옥,김연정,박민철,이희영,천부순",약학과(6),등급,전공능력,,,
2025,2,전필,ADA227,심화실습 2,1,5.0,"길윤서,민경아,박유미,조관형,허준성",약학과(6),등급,전공능력,,,
2025,2,전필,ADA227,심화실습 2,2,5.0,"김성옥,김연정,박민철,이희영,천부순",약학과(6),등급,전공능력,,,
2025,2,전필,ADB016,약품생화학2,1,3.0,박민철,약학과(2),등급,전공능력,,,
2025,2,전필,ADB019,물리약학2,1,3.0,조관형,약학과(2),등급,전공능력,,,
2025,2,전필,ADB020,의약품분석학2,1,2.0,박유미,약학과(2),등급,전공능력,,,
2025,2,전필,ADB021,약품면역학,1,2.0,김연정,약학과(2),등급,전공능력,,,
2025,2,전필,ADB022,약학실험2,1,2.0,"김연정,조관형",약학과(2),등급,전공능력,,,
2025,2,전필,ADB034,감염성미생물학,1,2.0,김연정,약학과(3),등급,전공능력,,,
2025,2,전필,ADB036,생약학2,1,2.0,길윤서,약학과(3),등급,전공능력,,,
2025,2,전필,ADB037,제제과학2,1,3.0,민경아,약학과(3),등급,전공능력,,,
2025,2,전필,ADB040,의약품기기분석학2,1,2.0,박유미,약학과(3),등급,전공능력,,,
2025,2,전필,ADB041,약학실험4,1,2.0,"길윤서,민경아",약학과(3),등급,전공능력,,,
2025,2,전필,ADB055,예방약학2,1,2.0,이희영,약학과(4),등급,전공능력,,,
2025,2,전필,ADB064,보건의약관계법규,1,2.0,김성옥,약학과(4),등급,전공능력,,,
2025,2,전필,ADB067,약학실험5,1,1.0,박민철,약학과(4),등급,전공능력,,,
2025,2,전필,ADB076,약학용어,1,1.0,이희영,약학과(3),등급,전공능력,,,
2025,2,전필,ADB083,임상약학 해설,1,1.0,천부순,약학과(4),등급,전공능력,,,
2025,2,전선,ADA109,예방약학 2,1,3.0,이희영,약학과(5),등급,전공능력,,,
2025,2,전선,ADA118,약업경영학,1,2.0,김성옥,약학과(5),등급,전공능력,,,
2025,2,전선,ADA167,약전 및 품질관리학,1,3.0,조관형,약학과(5),등급,전공능력,,,
2025,2,전선,ADB005,약학기초생물학2,1,3.0,박민철,약학과(1),등급,전공능력,,,
2025,2,전선,ADB006,약학기초화학2,1,3.0,허준성,약학과(1),등급,전공능력,,,
2025,2,전선,ADB015,병태생리학2,1,2.0,조현,약학과(2),등급,전공능력,,,
2025,2,전선,ADB017,의약분자생물학,1,2.0,박민철,약학과(2),등급,전공능력,,,
2025,2,전선,ADB018,약화학 2,1,3.0,허준성,약학과(2),등급,전공능력,,,
2025,2,전선,ADB035,임상면역학,1,2.0,김연정,약학과(3),등급,전공능력,,,
2025,2,전선,ADB039,약사 커뮤니케이션,1,2.0,김성옥,약학과(3),등급,전공능력,,,
2025,2,전선,ADB050,건강기능식품학,1,2.0,이희영,약학과(4),등급,전공능력,,,
2025,2,전선,ADB057,생물약제학,1,2.0,민경아,약학과(4),등급,전공능력,,,
2025,2,전선,ADB058,약물동태학,1,3.0,민경아,약학과(4),등급,전공능력,,,
2025,2,전선,ADB059,의약화학2,1,2.0,허준성,약학과(4),등급,전공능력,,,
2025,2,전선,ADB065,약사윤리,1,1.0,김성옥,약학과(4),등급,전공능력,,,
2025,2,전선,ADB082,심혈관계 질환 약물치료학,1,3.0,천부순,약학과(4),등급,전공능력,,,
2025,2,전선,ADB102,해부생리학2,1,2.0,조현,약학과(1),등급,전공능력,,,
2025,2,전선,ADB105,의약품개발사,1,2.0,박유미,약학과(2),등급,전공능력,,,
2025,2,전선,ADB107,항암약물요법2,1,2.0,이희영,약학과(5),등급,전공능력,,,
2025,2,전선,ADB113,유용천연물소재학,1,3.0,길윤서,약학과(3),등급,전공능력,,,
