학년도,학기,이수구분,교과목,교과목명,분반,학점,담당교수,개설학과,등급패스,역량구분,출력,중간문제,기말문제
2022,1,전필,ADA002,면역학,1,3.0,윤현주,약학과(3),등급,전공능력,,,
2022,1,전필,ADA030,약물학 1,1,4.0,김만수,약학과(4),등급,전공능력,,,
2022,1,전필,ADA031,약품분석화학 1,1,2.0,박유미,약학과(3),등급,전공능력,,,
2022,1,전필,ADA042,약품생화학 1,1,3.0,박민철,약학과(3),등급,전공능력,,,
2022,1,전필,ADA065,생약학 1,1,2.0,박유미,약학과(4),등급,전공능력,,,
2022,1,전필,ADA076,물리약학 1,1,3.0,민경아,약학과(3),등급,전공능력,,,
2022,1,전필,ADA102,의약화학 1,1,2.0,박요한,약학과(4),등급,전공능력,,,
2022,1,전필,ADA104,약품 미생물학,1,3.0,윤현주,약학과(4),등급,전공능력,,,
2022,1,전필,ADA115,지역약국 예비실무실습,1,2.0,천부순,약학과(5),등급,전공능력,,,
2022,1,전필,ADA184,약학실험 3,1,2.0,김만수,약학과(4),등급,전공능력,,,
2022,1,전필,ADA186,제제과학 1,1,3.0,조관형,약학과(4),등급,전공능력,,,
2022,1,전필,ADA193,보건사회약학,1,3.0,김성옥,약학과(4),등급,전공능력,,,
2022,1,전필,ADA200,제제과학실습,1,2.0,조관형,약학과(5),등급,전공능력,,,
2022,1,전필,ADA201,약학실험 1,1,2.0,"박요한,박유미",약학과(3),등급,전공능력,,,
2022,1,전필,ADA202,항암약물요법 및 일반의약품약물요법,1,2.0,천부순,약학과(5),등급,전공능력,,,
2022,1,전필,ADA206,의약품 경제성평가,1,2.0,김성옥,약학과(5),등급,전공능력,,,
2022,1,전필,ADA209,감염질환을 위한 항생물질학,1,2.0,윤현주,약학과(5),등급,전공능력,,,
2022,1,전필,ADA213,의료기관약국 필수실무실습 1,1,3.0,"권미경,안정미,천부순",약학과(6),등급,전공능력,,,
2022,1,전필,ADA214,의료기관약국 필수실무실습 2,1,2.0,"권미경,안정미,천부순",약학과(6),등급,전공능력,,,
2022,1,전필,ADA215,의료기관약국 필수실무실습 3,1,3.0,"권미경,안정미,천부순",약학과(6),등급,전공능력,,,
2022,1,전필,ADA216,의료기관약국 필수실무실습 4,1,2.0,"권미경,안정미,천부순",약학과(6),등급,전공능력,,,
2022,1,전필,ADA217,의료기관약국 예비실무실습,1,2.0,최방선,약학과(5),등급,전공능력,,,
2022,1,전필,ADA218,제약산업 필수실무실습,1,2.0,"민경아,조관형",약학과(6),등급,전공능력,,,
2022,1,전필,ADA219,지역약국 필수실무실습 1,1,2.0,"박형덕,정문준,정순옥,정우현,천부순,최방선",약학과(6),등급,전공능력,,,
2022,1,전필,ADA223,상담지도 I,1,0.0,조관형,약학과(3),PASS/FAIL,전공능력,,,
2022,1,전필,ADA223,상담지도 I,2,0.0,김성옥,약학과(3),PASS/FAIL,전공능력,,,
2022,1,전필,ADA223,상담지도 I,3,0.0,김만수,약학과(3),PASS/FAIL,전공능력,,,
2022,1,전필,ADA223,상담지도 I,4,0.0,박요한,약학과(3),PASS/FAIL,전공능력,,,
2022,1,전필,ADA223,상담지도 I,5,0.0,박유미,약학과(3),PASS/FAIL,전공능력,,,
2022,1,전필,ADA223,상담지도 I,6,0.0,민경아,약학과(3),PASS/FAIL,전공능력,,,
2022,1,전필,ADA223,상담지도 I,7,0.0,천부순,약학과(3),PASS/FAIL,전공능력,,,
2022,1,전필,ADA223,상담지도 I,8,0.0,윤현주,약학과(3),PASS/FAIL,전공능력,,,
2022,1,전필,ADA223,상담지도 I,9,0.0,박민철,약학과(3),PASS/FAIL,전공능력,,,
2022,1,전선,ADA022,해부생리학,1,3.0,김만수,약학과(3),등급,전공능력,,,
2022,1,전선,ADA051,약학통계,1,2.0,김성옥,약학과(3),등급,전공능력,,,
2022,1,전선,ADA080,약화학,1,3.0,박요한,약학과(3),등급,전공능력,,,
2022,1,전선,ADA120,향장품학,1,2.0,민경아,약학과(4),등급,전공능력,,,
2022,1,전선,ADA122,천연물의약품학,1,2.0,박유미,약학과(4),등급,전공능력,,,
2022,1,전선,ADA132,예방약학 1,1,2.0,박민철,약학과(5),등급,전공능력,,,
2022,1,전선,ADA144,신경정신계질환 및 신장질환 약물치료학,1,3.0,천부순,약학과(5),등급,전공능력,,,
2022,1,전선,ADA145,호흡기계 및 소화기계 질환 약물치료학,1,2.0,천부순,약학과(5),등급,전공능력,,,
2022,1,전선,ADA150,임상약물동태학,1,2.0,민경아,약학과(5),등급,전공능력,,,
2022,1,전선,ADA171,의약품제조관리학,1,3.0,조관형,약학과(5),등급,전공능력,,,
2022,1,전선,ADA182,건강기능식품학,1,2.0,박민철,약학과(4),등급,전공능력,,,
2022,1,전선,ADA199,무기 및 방사성 의약품학,1,2.0,박요한,약학과(3),등급,전공능력,,,
2022,1,전선,ADA212,약사윤리와 진로 적응,1,1.0,김성옥,약학과(3),PASS/FAIL,전공능력,,,
2022,1,전선,ADB001,해부생리학,1,3.0,김만수,약학과(1),등급,전공능력,,,
2022,1,전선,ADB002,약학기초생물학1,1,3.0,박민철,약학과(1),등급,전공능력,,,
2022,1,전선,ADB003,약학기초화학1,1,3.0,김동연,약학과(1),등급,전공능력,,,
